Category,Title,Link to source,Knowledge level,Time needed ,Language,Keywords,Information,Owner,License (except otherwise noted),License version,License link,Metadata,Added to this collection
"practical guides, document, course","Little, J. (2024, August 21). FAIR Research Data Publication with the Multidisciplinary Open Repository Zenodo. BiblioCon 2024, Hamburg, Germany. Zenodo. https://doi.org/10.5281/zenodo.13343097 ",https://zenodo.org/records/13343097,any level,"self-paced, few days",EN,"FAIR, repository, Data, Zenodo",,,CC BY,4.0,https://creativecommons.org/licenses/by/4.0/,,31.10.2024
"practical guides, document","Schätz, M., Vališ, J., Koutentaki, G., & Sklenář, A. (2024). Paper Archiving in the Zenodo Repository and in the UCT Prague Zenodo Community (Version v0). Zenodo. https://doi.org/10.5281/zenodo.10890048 ",https://zenodo.org/records/10890048,any level,"few hours, self-paced",EN,"Zenodo, repository, DataSteward Training, other...",All versions DOI: 10.5281/zenodo.10890047 ,,CC BY,4.0,https://creativecommons.org/licenses/by/4.0/,,31.10.2024
"practical guides, document","Schätz, M., Vališ, J., Koutentaki, G., & Sklenář, A. (2024). Datasets archiving in the Zenodo repository and in the UCT Prague Zenodo Community (Version v0). Zenodo. https://doi.org/10.5281/zenodo.10890096 ",https://zenodo.org/records/10890096,any level,"few hours, self-paced",EN,"Zenodo, repository, Data, other...",All versions DOI: 10.5281/zenodo.10890095,,CC BY,4.0,https://creativecommons.org/licenses/by/4.0/,,31.10.2024
document,"Gerlach, R., Rex, J., Lang, K., Neute, N., Annett Schröter, Schwartze, V., Assmann, C., & Lehmann, A. (2022). Research Data ScaryTales (3.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.7276802 ",https://zenodo.org/records/7276802,any level,"few days, self-paced",EN,"Bad Practices , Data",Read stories of bad practices of data management in research,,Public domain (CC0),1.0,https://creativecommons.org/publicdomain/zero/1.0/legalcode,,31.10.2024
"article, practical guides, document","Klump, J., Pampel, H., Rothfritz, L., & Strecker, D. (2024). Recommendations on Data Versioning. Zenodo. https://doi.org/10.5281/zenodo.13743876 ",https://zenodo.org/records/13743876,any level,"few hours, self-paced",EN,"Good Practices, Data, DataSteward Training",All version DOI: 10.5281/zenodo.13743875,,CC BY,4.0,https://creativecommons.org/licenses/by/4.0/,,31.10.2024
"webpage, article, practical guides",The German National Research Data Infrastructure (NFDI),https://www.tu.berlin/en/ub/szf/rdm-by-discipline/the-german-national-research-data-infrastructure-nfdi   --------------------------       https://www.tu.berlin/en/ub/szf/rdm-by-discipline ,any level,"-, few hours","EN, DE","repository, Data, Open Science, Good Practices",Find information about RDM depending on your discipline!,TU Berlin,"Public domain (CC0), CC BY",4.0,https://creativecommons.org/publicdomain/zero/1.0/legalcode -------------------------- https://creativecommons.org/publicdomain/zero/1.0/legalcode-https://creativecommons.org/licenses/by/4.0/,,31.10.2024
"document, article, practical guides","Nakhaie, S., Mansour, A. E., Helbig, K., Bierwirth, M., Draxl, C., & Aeschlimann, M. (2024). FAIRmat Guide to Legal Aspects in Research Data Management. FAIRmat. https://doi.org/10.5281/zenodo.11083303 ",https://zenodo.org/records/11083303,beginner,"few hours, self-paced",EN,"RDM, Data, Good Practices, FAIR, licensing",,,CC BY,4.0,https://creativecommons.org/licenses/by/4.0/,,31.10.2024
article,Data Stewards: Central Contact Point for Research Data and Open Data,https://www.zbw-mediatalk.eu/2024/04/data-stewards-central-contact-point-for-research-data-and-open-data/ ,any level,"-, self-paced",EN,DataSteward Training,"The role of data steward, as explained by  Birgit Knöpfli and Dr Christian Rutzer from the Faculty of Business and Economics at the University of Basel",,CC BY,4.0,https://creativecommons.org/licenses/by/4.0/,,31.10.2024
webpage,ELN Finder,https://eln-finder.ulb.tu-darmstadt.de/home,any level,"-, self-paced",EN,"repository, Good Practices, FAIR, RDM",Find the correct electronic lab notebook (ELN) for your research ,,several licenses,,,,31.10.2024
webpage,Open Science Support Center - Charles University,https://openscience.cuni.cz/OSCIEN-1.html,any level,"-, self-paced","CZ, EN","FAIR, Open Science",Short introductions to topics of Open Science,Open Science Support Center,copyrighted,,,,31.10.2024
webpage,Open Science at UCT Prague,https://open.vscht.cz/,any level,"-, self-paced","CZ, EN","Open Science, Good Practices, FAIR",Short introductions to topics of Open Science,,,,,,31.10.2024
"webpage, course",Data management and sharing,https://software-skills.neuroinformatics.dev/courses/data-management.html,intermediate,"few weeks, self-paced",EN,"repository, Good Practices, RDM, DataSteward Training, Data",,SWC/GCNU Neuroinformatics Unit,"MIT License, copyrighted",,,,
"article, practical guides",Ontologies4Chem: the landscape of ontologies in chemistry   -----------------------------------        https://doi.org/10.1515/pac-2021-2007,https://www.degruyter.com/document/doi/10.1515/pac-2021-2007/html,intermediate,few hours,EN,"Data, Database, Good Practices, FAIR","Philip Strömert   , Johannes Hunold  , André Castro  , Steffen Neumann  and Oliver Koepler  --------------------------  ""These ontologies are evaluated against several criteria derived from the FAIR data principles and their possible application in the digitisation of research data management workflows.""",,CC BY-NC-ND,4.0,  https://creativecommons.org/licenses/by-nc-nd/4.0/,"© 2022 the author(s), published by IUPAC & De Gruyter, Berlin/Boston",18.12.2024
"practical guides, article",Eleven quick tips for properly handling tabular data,https://doi.org/10.1371/journal.pcbi.1012604,intermediate,few hours,EN,"Data, FAIR, Good Practices","Copyright: © 2024 Hertz, McNeill. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",,CC BY,4.0,https://creativecommons.org/licenses/by/4.0/,,18.12.2024
course,RDM Kit elixir,https://rdmkit.elixir-europe.org/all_training_resources,any level,self-paced,EN,"DataSteward Training, RDM",,,,,,,
